source,campaign,influencer_id,user_id,product,date,orders,revenue
POST_00290,HKVitals_Campaign_Y,INF_0052,USER_010030,Omega-3,2025-06-12,1,1418
POST_00269,HKVitals_Campaign_Z,INF_0048,USER_010031,Omega-3,2025-01-16,1,1867
POST_00470,MuscleBlaze_Campaign_C,INF_0077,USER_010032,Pre-Workout,2025-04-20,1,2058
POST_00393,MuscleBlaze_Campaign_X,INF_0065,USER_010033,Pre-Workout,2025-06-10,1,1281
POST_00054,MuscleBlaze_Campaign_B,INF_0010,USER_010034,Mass Gainer,2025-07-13,1,1369
POST_00047,MuscleBlaze_Campaign_Z,INF_0008,USER_010035,Whey Protein,2025-07-05,1,1608
POST_00136,MuscleBlaze_Campaign_B,INF_0025,USER_010036,Whey Protein,2025-01-19,1,1284
POST_00348,MuscleBlaze_Campaign_B,INF_0060,USER_010037,Pre-Workout,2025-01-18,1,1336
POST_00267,MuscleBlaze_Campaign_A,INF_0048,USER_010038,Whey Protein,2025-07-15,1,1931
POST_00270,MuscleBlaze_Campaign_Y,INF_0048,USER_010039,BCAA,2025-02-28,1,1442
POST_00504,MuscleBlaze_Campaign_C,INF_0081,USER_010040,Mass Gainer,2025-07-04,1,1881
POST_00153,MuscleBlaze_Campaign_Z,INF_0027,USER_010041,Whey Protein,2025-03-08,1,1082
POST_00479,MuscleBlaze_Campaign_A,INF_0078,USER_010042,Pre-Workout,2025-07-03,1,1856
POST_00366,HKVitals_Campaign_C,INF_0062,USER_010043,Probiotics,2025-04-12,1,1151
POST_00096,MuscleBlaze_Campaign_Z,INF_0016,USER_010044,BCAA,2025-06-16,1,1760
POST_00600,MuscleBlaze_Campaign_X,INF_0096,USER_010045,Whey Protein,2025-05-28,1,1893
POST_00511,HKVitals_Campaign_C,INF_0082,USER_010046,Vitamin D,2025-06-29,1,1663
POST_00383,HKVitals_Campaign_X,INF_0064,USER_010047,Multivitamin,2025-06-09,1,1188
POST_00492,HKVitals_Campaign_C,INF_0079,USER_010048,Probiotics,2025-05-16,1,1292
POST_00045,HKVitals_Campaign_C,INF_0008,USER_010049,Probiotics,2025-02-10,1,1708
POST_00050,HKVitals_Campaign_X,INF_0009,USER_010050,Vitamin D,2025-01-03,1,1100
POST_00617,HKVitals_Campaign_Y,INF_0098,USER_010051,Probiotics,2025-07-16,1,1280
POST_00214,MuscleBlaze_Campaign_C,INF_0037,USER_010052,Pre-Workout,2025-06-05,1,1727
POST_00306,MuscleBlaze_Campaign_Z,INF_0054,USER_010053,Pre-Workout,2025-07-15,1,1712
POST_00368,HKVitals_Campaign_A,INF_0062,USER_010054,Vitamin D,2025-03-31,1,1491
POST_00577,HKVitals_Campaign_Z,INF_0092,USER_010055,Probiotics,2025-04-03,1,1430
POST_00445,MuscleBlaze_Campaign_Y,INF_0073,USER_010056,Whey Protein,2025-04-16,1,1814
POST_00159,MuscleBlaze_Campaign_X,INF_0028,USER_010057,Pre-Workout,2025-01-09,1,1633
POST_00448,MuscleBlaze_Campaign_Z,INF_0073,USER_010058,Pre-Workout,2025-05-28,1,2488
POST_00303,MuscleBlaze_Campaign_A,INF_0053,USER_010059,Whey Protein,2025-07-17,2,3941
POST_00583,MuscleBlaze_Campaign_B,INF_0093,USER_010060,BCAA,2024-10-19,1,1577
POST_00474,MuscleBlaze_Campaign_X,INF_0078,USER_010061,Mass Gainer,2025-07-20,1,1809
POST_00305,MuscleBlaze_Campaign_Z,INF_0053,USER_010062,Pre-Workout,2025-04-02,1,2275
POST_00190,MuscleBlaze_Campaign_C,INF_0033,USER_010063,Whey Protein,2025-02-03,1,1594
POST_00548,MuscleBlaze_Campaign_Y,INF_0087,USER_010064,Whey Protein,2025-07-22,1,1155
POST_00472,HKVitals_Campaign_B,INF_0077,USER_010065,Probiotics,2024-09-25,1,1782
POST_00405,HKVitals_Campaign_X,INF_0067,USER_010066,Multivitamin,2025-03-16,1,1062
POST_00193,HKVitals_Campaign_Y,INF_0035,USER_010067,Omega-3,2025-07-06,1,1181
POST_00552,HKVitals_Campaign_Y,INF_0088,USER_010068,Omega-3,2025-06-11,1,1743
POST_00023,HKVitals_Campaign_C,INF_0005,USER_010069,Multivitamin,2025-07-12,1,1187
POST_00497,MuscleBlaze_Campaign_A,INF_0080,USER_010070,Pre-Workout,2025-01-09,1,1845
POST_00009,MuscleBlaze_Campaign_A,INF_0002,USER_010071,Whey Protein,2025-01-19,1,1692
POST_00568,HKVitals_Campaign_B,INF_0091,USER_010072,Multivitamin,2025-06-26,1,1487
POST_00063,MuscleBlaze_Campaign_Z,INF_0010,USER_010073,Pre-Workout,2025-02-05,1,1548
POST_00485,MuscleBlaze_Campaign_Z,INF_0079,USER_010074,Whey Protein,2025-05-27,1,1895
POST_00447,MuscleBlaze_Campaign_B,INF_0073,USER_010075,BCAA,2025-06-08,1,1860
POST_00348,MuscleBlaze_Campaign_C,INF_0060,USER_010076,Pre-Workout,2024-12-30,1,1314
POST_00427,MuscleBlaze_Campaign_Y,INF_0069,USER_010077,BCAA,2025-07-01,1,1770
POST_00290,HKVitals_Campaign_Y,INF_0052,USER_010078,Multivitamin,2025-06-15,1,1166
POST_00504,HKVitals_Campaign_A,INF_0081,USER_010079,Multivitamin,2025-07-22,1,1899
POST_00215,MuscleBlaze_Campaign_C,INF_0037,USER_010080,Whey Protein,2025-04-01,1,1285
POST_00516,MuscleBlaze_Campaign_Y,INF_0082,USER_010081,Whey Protein,2025-05-31,1,1153
POST_00230,MuscleBlaze_Campaign_Z,INF_0041,USER_010082,Pre-Workout,2025-03-19,1,1356
POST_00155,MuscleBlaze_Campaign_A,INF_0027,USER_010083,Whey Protein,2024-12-24,1,1884
POST_00105,HKVitals_Campaign_X,INF_0018,USER_010084,Multivitamin,2024-12-05,1,1200
POST_00300,HKVitals_Campaign_C,INF_0053,USER_010085,Probiotics,2025-03-18,1,1139
POST_00142,HKVitals_Campaign_A,INF_0026,USER_010086,Multivitamin,2025-03-10,1,1445
POST_00486,HKVitals_Campaign_Z,INF_0079,USER_010087,Vitamin D,2025-05-15,1,1204
POST_00425,HKVitals_Campaign_B,INF_0069,USER_010088,Vitamin D,2025-04-01,1,1271
POST_00234,HKVitals_Campaign_A,INF_0041,USER_010089,Omega-3,2025-04-20,1,1422
POST_00371,HKVitals_Campaign_B,INF_0062,USER_010090,Probiotics,2025-02-20,1,1059
POST_00323,MuscleBlaze_Campaign_X,INF_0056,USER_010091,Mass Gainer,2025-05-23,1,1404
POST_00155,MuscleBlaze_Campaign_C,INF_0027,USER_010092,Whey Protein,2025-06-08,2,3864
POST_00567,HKVitals_Campaign_Z,INF_0091,USER_010093,Vitamin D,2025-06-03,2,2114
POST_00151,HKVitals_Campaign_B,INF_0027,USER_010094,Probiotics,2025-04-01,1,1235
POST_00453,HKVitals_Campaign_X,INF_0074,USER_010095,Probiotics,2025-02-16,1,1843
POST_00343,HKVitals_Campaign_Y,INF_0059,USER_010096,Probiotics,2025-07-14,1,1716
POST_00554,HKVitals_Campaign_Z,INF_0088,USER_010097,Vitamin D,2025-05-14,1,1511
POST_00164,HKVitals_Campaign_B,INF_0029,USER_010098,Multivitamin,2025-03-25,1,1767
POST_00312,HKVitals_Campaign_Z,INF_0055,USER_010099,Multivitamin,2025-07-16,1,1807
POST_00363,MuscleBlaze_Campaign_Z,INF_0061,USER_010100,Whey Protein,2025-06-29,1,1402
POST_00547,MuscleBlaze_Campaign_C,INF_0087,USER_010101,Mass Gainer,2025-05-15,1,1306
POST_00144,MuscleBlaze_Campaign_Z,INF_0026,USER_010102,Pre-Workout,2025-06-22,1,1273
POST_00198,HKVitals_Campaign_A,INF_0035,USER_010103,Vitamin D,2025-04-13,1,1182
POST_00064,MuscleBlaze_Campaign_B,INF_0011,USER_010104,Mass Gainer,2025-04-20,1,1767
POST_00573,MuscleBlaze_Campaign_C,INF_0091,USER_010105,Pre-Workout,2024-12-30,2,3152
POST_00451,HKVitals_Campaign_Y,INF_0074,USER_010106,Probiotics,2025-07-02,1,1425
POST_00131,MuscleBlaze_Campaign_B,INF_0024,USER_010107,Pre-Workout,2025-04-11,1,1684
POST_00218,MuscleBlaze_Campaign_B,INF_0038,USER_010108,Pre-Workout,2025-02-24,1,1722
POST_00122,MuscleBlaze_Campaign_Z,INF_0022,USER_010109,Pre-Workout,2025-04-30,1,1383
POST_00157,MuscleBlaze_Campaign_Z,INF_0027,USER_010110,Whey Protein,2025-07-22,1,1942
POST_00029,HKVitals_Campaign_Z,INF_0007,USER_010111,Omega-3,2024-12-17,1,1430
POST_00501,HKVitals_Campaign_X,INF_0081,USER_010112,Multivitamin,2025-02-16,1,1364
POST_00587,MuscleBlaze_Campaign_A,INF_0094,USER_010113,Pre-Workout,2024-10-16,2,3506
POST_00142,MuscleBlaze_Campaign_Y,INF_0026,USER_010114,Pre-Workout,2025-07-18,1,1650
POST_00420,MuscleBlaze_Campaign_B,INF_0068,USER_010115,Pre-Workout,2025-01-03,1,1406
POST_00454,HKVitals_Campaign_B,INF_0074,USER_010116,Multivitamin,2025-06-04,2,3373
POST_00317,MuscleBlaze_Campaign_B,INF_0055,USER_010117,Whey Protein,2025-05-02,1,2166
POST_00055,HKVitals_Campaign_X,INF_0010,USER_010118,Omega-3,2025-06-28,1,1502
POST_00545,HKVitals_Campaign_Y,INF_0086,USER_010119,Omega-3,2025-07-13,2,2595
POST_00594,MuscleBlaze_Campaign_X,INF_0095,USER_010120,BCAA,2025-06-23,1,2041
POST_00185,MuscleBlaze_Campaign_A,INF_0032,USER_010121,Pre-Workout,2025-05-18,1,1525
POST_00118,MuscleBlaze_Campaign_Y,INF_0021,USER_010122,Whey Protein,2025-06-15,1,1307
POST_00092,MuscleBlaze_Campaign_Y,INF_0015,USER_010123,Mass Gainer,2025-06-13,1,1417
POST_00334,MuscleBlaze_Campaign_A,INF_0058,USER_010124,Mass Gainer,2025-05-17,1,1103
POST_00146,MuscleBlaze_Campaign_X,INF_0026,USER_010125,Pre-Workout,2025-07-07,2,2564
POST_00246,HKVitals_Campaign_A,INF_0043,USER_010126,Omega-3,2025-07-13,1,1727
POST_00326,MuscleBlaze_Campaign_C,INF_0056,USER_010127,Pre-Workout,2025-07-14,1,1076
POST_00020,MuscleBlaze_Campaign_X,INF_0005,USER_010128,BCAA,2025-05-27,1,1578
POST_00569,HKVitals_Campaign_X,INF_0091,USER_010129,Omega-3,2024-12-21,1,1416
POST_00146,HKVitals_Campaign_Y,INF_0026,USER_010130,Vitamin D,2025-06-22,1,1201
POST_00434,HKVitals_Campaign_B,INF_0070,USER_010131,Probiotics,2025-03-24,1,1781
POST_00172,HKVitals_Campaign_Z,INF_0030,USER_010132,Multivitamin,2025-05-29,1,1880
POST_00390,HKVitals_Campaign_B,INF_0065,USER_010133,Vitamin D,2025-07-22,1,1241
POST_00166,HKVitals_Campaign_X,INF_0029,USER_010134,Multivitamin,2025-06-26,1,1406
POST_00517,HKVitals_Campaign_C,INF_0082,USER_010135,Vitamin D,2025-05-03,2,3802
POST_00464,HKVitals_Campaign_Z,INF_0075,USER_010136,Vitamin D,2025-06-28,1,1935
POST_00614,HKVitals_Campaign_C,INF_0098,USER_010137,Vitamin D,2025-06-24,1,1673
POST_00005,HKVitals_Campaign_C,INF_0002,USER_010138,Multivitamin,2025-07-15,1,1422
POST_00080,HKVitals_Campaign_A,INF_0013,USER_010139,Multivitamin,2025-06-11,2,3569
POST_00362,HKVitals_Campaign_Y,INF_0061,USER_010140,Probiotics,2025-07-01,1,1372
POST_00380,HKVitals_Campaign_X,INF_0064,USER_010141,Omega-3,2025-07-03,1,1249
POST_00367,MuscleBlaze_Campaign_Z,INF_0062,USER_010142,BCAA,2025-03-13,1,2296
POST_00505,MuscleBlaze_Campaign_C,INF_0081,USER_010143,Mass Gainer,2025-02-05,1,1936
POST_00285,MuscleBlaze_Campaign_C,INF_0051,USER_010144,Pre-Workout,2025-03-11,1,1224
POST_00618,MuscleBlaze_Campaign_X,INF_0098,USER_010145,Mass Gainer,2025-05-08,1,1165
POST_00584,HKVitals_Campaign_C,INF_0094,USER_010146,Vitamin D,2025-03-05,1,1660
POST_00630,HKVitals_Campaign_X,INF_0099,USER_010147,Vitamin D,2025-05-02,1,1845
POST_00054,HKVitals_Campaign_Z,INF_0010,USER_010148,Vitamin D,2025-07-05,1,1946
POST_00531,MuscleBlaze_Campaign_X,INF_0085,USER_010149,BCAA,2025-07-03,1,1899
POST_00431,MuscleBlaze_Campaign_B,INF_0070,USER_010150,BCAA,2025-04-05,1,1323
POST_00434,HKVitals_Campaign_X,INF_0070,USER_010151,Omega-3,2024-12-12,1,1346
POST_00100,MuscleBlaze_Campaign_Z,INF_0016,USER_010152,Pre-Workout,2025-03-09,1,2157
POST_00485,MuscleBlaze_Campaign_Z,INF_0079,USER_010153,Mass Gainer,2025-05-24,2,3599
POST_00243,HKVitals_Campaign_B,INF_0042,USER_010154,Probiotics,2025-04-14,1,1613
POST_00063,HKVitals_Campaign_X,INF_0010,USER_010155,Probiotics,2025-02-07,1,1813
POST_00453,MuscleBlaze_Campaign_B,INF_0074,USER_010156,Pre-Workout,2025-05-26,1,1660
POST_00391,MuscleBlaze_Campaign_Y,INF_0065,USER_010157,Pre-Workout,2025-02-20,1,1727
POST_00465,MuscleBlaze_Campaign_B,INF_0075,USER_010158,Pre-Workout,2025-03-23,1,1435
POST_00348,MuscleBlaze_Campaign_Y,INF_0060,USER_010159,Whey Protein,2025-06-11,1,1345
POST_00013,MuscleBlaze_Campaign_Y,INF_0004,USER_010160,Whey Protein,2025-07-21,1,2677
POST_00263,MuscleBlaze_Campaign_A,INF_0047,USER_010161,BCAA,2025-04-13,1,1702
POST_00141,MuscleBlaze_Campaign_A,INF_0026,USER_010162,Whey Protein,2025-07-21,1,1331
POST_00367,MuscleBlaze_Campaign_Z,INF_0062,USER_010163,Mass Gainer,2025-04-24,1,1662
POST_00149,MuscleBlaze_Campaign_B,INF_0027,USER_010164,Whey Protein,2025-01-24,1,1787
POST_00201,HKVitals_Campaign_C,INF_0035,USER_010165,Omega-3,2024-11-18,1,1357
POST_00479,HKVitals_Campaign_Z,INF_0078,USER_010166,Vitamin D,2025-07-18,2,3119
POST_00429,MuscleBlaze_Campaign_Y,INF_0070,USER_010167,Whey Protein,2025-04-19,1,1540
POST_00236,MuscleBlaze_Campaign_Z,INF_0042,USER_010168,Mass Gainer,2025-01-24,1,2659
POST_00410,MuscleBlaze_Campaign_X,INF_0067,USER_010169,Whey Protein,2025-07-06,1,1216
POST_00451,MuscleBlaze_Campaign_Y,INF_0074,USER_010170,BCAA,2025-05-28,1,1077
POST_00225,MuscleBlaze_Campaign_B,INF_0040,USER_010171,BCAA,2025-07-11,1,1356
POST_00201,MuscleBlaze_Campaign_C,INF_0035,USER_010172,BCAA,2024-12-31,2,2138
POST_00114,MuscleBlaze_Campaign_Y,INF_0020,USER_010173,BCAA,2025-02-18,2,2649
POST_00382,MuscleBlaze_Campaign_B,INF_0064,USER_010174,Mass Gainer,2025-04-06,2,3859
POST_00148,MuscleBlaze_Campaign_A,INF_0026,USER_010175,Mass Gainer,2025-06-15,1,1223
POST_00326,MuscleBlaze_Campaign_B,INF_0056,USER_010176,Mass Gainer,2025-07-20,2,3474
POST_00549,MuscleBlaze_Campaign_X,INF_0088,USER_010177,BCAA,2025-06-20,1,1345
POST_00287,HKVitals_Campaign_A,INF_0051,USER_010178,Probiotics,2025-05-29,1,1123
POST_00172,HKVitals_Campaign_B,INF_0030,USER_010179,Probiotics,2025-04-01,1,1631
POST_00532,MuscleBlaze_Campaign_A,INF_0085,USER_010180,BCAA,2025-07-20,1,1946
POST_00596,MuscleBlaze_Campaign_Y,INF_0095,USER_010181,Whey Protein,2025-06-20,1,2124
POST_00314,MuscleBlaze_Campaign_B,INF_0055,USER_010182,Pre-Workout,2025-07-19,1,2044
POST_00087,MuscleBlaze_Campaign_B,INF_0014,USER_010183,BCAA,2025-05-25,1,1366
POST_00525,MuscleBlaze_Campaign_Z,INF_0083,USER_010184,Pre-Workout,2025-05-05,1,1439
POST_00392,MuscleBlaze_Campaign_C,INF_0065,USER_010185,Whey Protein,2025-04-19,1,1260
POST_00085,MuscleBlaze_Campaign_C,INF_0013,USER_010186,BCAA,2025-04-11,1,1512
POST_00284,HKVitals_Campaign_B,INF_0050,USER_010187,Multivitamin,2025-06-20,1,1374
POST_00202,HKVitals_Campaign_C,INF_0035,USER_010188,Vitamin D,2025-05-19,1,1784
POST_00619,HKVitals_Campaign_C,INF_0098,USER_010189,Omega-3,2025-06-09,2,3454
POST_00268,HKVitals_Campaign_Z,INF_0048,USER_010190,Multivitamin,2025-05-28,1,1304
POST_00416,HKVitals_Campaign_Y,INF_0068,USER_010191,Multivitamin,2025-06-28,1,1511
POST_00215,MuscleBlaze_Campaign_X,INF_0037,USER_010192,Pre-Workout,2025-07-11,1,1465
POST_00193,MuscleBlaze_Campaign_B,INF_0035,USER_010193,Pre-Workout,2025-07-20,1,1455
POST_00143,MuscleBlaze_Campaign_A,INF_0026,USER_010194,Mass Gainer,2025-04-11,1,1714
POST_00430,MuscleBlaze_Campaign_B,INF_0070,USER_010195,Pre-Workout,2025-01-04,1,1816
POST_00033,HKVitals_Campaign_B,INF_0007,USER_010196,Omega-3,2025-06-28,2,3890
POST_00618,HKVitals_Campaign_A,INF_0098,USER_010197,Probiotics,2025-06-23,2,2468
POST_00396,HKVitals_Campaign_A,INF_0066,USER_010198,Omega-3,2025-01-05,1,1346
POST_00312,MuscleBlaze_Campaign_B,INF_0055,USER_010199,Whey Protein,2025-07-21,1,2101
POST_00192,MuscleBlaze_Campaign_X,INF_0034,USER_010200,Pre-Workout,2025-03-28,1,1961
POST_00378,MuscleBlaze_Campaign_A,INF_0064,USER_010201,Whey Protein,2025-06-26,1,1824
POST_00114,MuscleBlaze_Campaign_X,INF_0020,USER_010202,Mass Gainer,2025-01-27,1,1480
POST_00212,MuscleBlaze_Campaign_C,INF_0037,USER_010203,Mass Gainer,2025-07-11,1,1786
POST_00619,MuscleBlaze_Campaign_C,INF_0098,USER_010204,BCAA,2025-07-12,1,1502
POST_00207,MuscleBlaze_Campaign_A,INF_0036,USER_010205,Whey Protein,2024-11-18,2,2902
POST_00253,MuscleBlaze_Campaign_Z,INF_0045,USER_010206,Pre-Workout,2025-05-24,1,2280
POST_00468,MuscleBlaze_Campaign_A,INF_0076,USER_010207,BCAA,2025-07-21,1,2594
POST_00633,MuscleBlaze_Campaign_Y,INF_0100,USER_010208,Pre-Workout,2024-11-14,1,1870
POST_00098,MuscleBlaze_Campaign_C,INF_0016,USER_010209,Whey Protein,2025-06-29,1,1877
POST_00069,HKVitals_Campaign_B,INF_0011,USER_010210,Omega-3,2025-06-07,2,2840
POST_00378,HKVitals_Campaign_Z,INF_0064,USER_010211,Multivitamin,2025-06-03,1,1504
POST_00169,HKVitals_Campaign_X,INF_0029,USER_010212,Vitamin D,2025-06-27,1,1090
POST_00473,MuscleBlaze_Campaign_X,INF_0077,USER_010213,Pre-Workout,2025-03-07,2,2668
POST_00476,MuscleBlaze_Campaign_C,INF_0078,USER_010214,Pre-Workout,2025-06-24,1,1124
POST_00449,MuscleBlaze_Campaign_X,INF_0073,USER_010215,BCAA,2025-03-29,1,1246
POST_00128,MuscleBlaze_Campaign_X,INF_0023,USER_010216,Pre-Workout,2025-05-27,1,1654
POST_00158,MuscleBlaze_Campaign_X,INF_0027,USER_010217,Pre-Workout,2025-07-20,1,1245
POST_00453,HKVitals_Campaign_X,INF_0074,USER_010218,Multivitamin,2025-02-23,1,1327
POST_00050,HKVitals_Campaign_Y,INF_0009,USER_010219,Omega-3,2025-07-03,2,2774
POST_00017,HKVitals_Campaign_Y,INF_0005,USER_010220,Probiotics,2025-07-08,1,1063
POST_00065,MuscleBlaze_Campaign_Y,INF_0011,USER_010221,Whey Protein,2025-02-20,1,1720
POST_00525,MuscleBlaze_Campaign_B,INF_0083,USER_010222,BCAA,2025-05-19,1,1614
POST_00555,MuscleBlaze_Campaign_Y,INF_0088,USER_010223,Pre-Workout,2025-07-03,2,2317
POST_00332,MuscleBlaze_Campaign_X,INF_0058,USER_010224,Mass Gainer,2025-07-20,1,1639
POST_00470,MuscleBlaze_Campaign_Y,INF_0077,USER_010225,BCAA,2025-06-29,1,1386
POST_00614,MuscleBlaze_Campaign_B,INF_0098,USER_010226,Pre-Workout,2025-02-13,2,2283
POST_00258,MuscleBlaze_Campaign_C,INF_0046,USER_010227,Whey Protein,2025-01-23,1,1933
POST_00137,MuscleBlaze_Campaign_C,INF_0025,USER_010228,BCAA,2025-02-01,1,1736
POST_00494,MuscleBlaze_Campaign_C,INF_0080,USER_010229,Whey Protein,2025-07-01,1,1860
POST_00014,MuscleBlaze_Campaign_B,INF_0004,USER_010230,Whey Protein,2025-03-13,1,2416
POST_00141,MuscleBlaze_Campaign_A,INF_0026,USER_010231,BCAA,2025-07-07,1,1232
POST_00039,MuscleBlaze_Campaign_A,INF_0008,USER_010232,Mass Gainer,2024-12-04,2,3177
POST_00285,MuscleBlaze_Campaign_C,INF_0051,USER_010233,Whey Protein,2024-11-08,1,1930
POST_00340,MuscleBlaze_Campaign_C,INF_0058,USER_010234,BCAA,2025-02-25,1,1535
POST_00228,MuscleBlaze_Campaign_C,INF_0041,USER_010235,Pre-Workout,2025-06-21,1,1215
POST_00504,MuscleBlaze_Campaign_Y,INF_0081,USER_010236,Whey Protein,2025-05-28,2,2194
POST_00178,MuscleBlaze_Campaign_C,INF_0030,USER_010237,Mass Gainer,2024-10-21,1,1120
POST_00169,MuscleBlaze_Campaign_Y,INF_0029,USER_010238,Mass Gainer,2025-07-22,1,1209
POST_00591,MuscleBlaze_Campaign_X,INF_0094,USER_010239,Mass Gainer,2025-05-27,1,1753
POST_00387,MuscleBlaze_Campaign_B,INF_0065,USER_010240,Mass Gainer,2025-05-20,1,1430
POST_00391,MuscleBlaze_Campaign_Z,INF_0065,USER_010241,Pre-Workout,2025-06-15,2,3466
POST_00157,MuscleBlaze_Campaign_A,INF_0027,USER_010242,Mass Gainer,2025-07-16,1,1467
POST_00576,MuscleBlaze_Campaign_A,INF_0092,USER_010243,Pre-Workout,2025-07-09,1,1173
POST_00195,MuscleBlaze_Campaign_A,INF_0035,USER_010244,BCAA,2025-07-18,1,1883
POST_00502,MuscleBlaze_Campaign_A,INF_0081,USER_010245,BCAA,2025-07-14,1,1579
POST_00580,MuscleBlaze_Campaign_Z,INF_0092,USER_010246,Mass Gainer,2025-07-08,1,1443
POST_00501,MuscleBlaze_Campaign_A,INF_0081,USER_010247,BCAA,2024-11-02,1,1636
POST_00036,HKVitals_Campaign_C,INF_0007,USER_010248,Vitamin D,2025-03-24,1,1659
POST_00152,HKVitals_Campaign_Y,INF_0027,USER_010249,Vitamin D,2025-03-20,1,1900
POST_00617,HKVitals_Campaign_C,INF_0098,USER_010250,Omega-3,2025-07-17,1,1744
POST_00601,HKVitals_Campaign_A,INF_0096,USER_010251,Multivitamin,2025-05-01,1,1220
POST_00438,MuscleBlaze_Campaign_A,INF_0071,USER_010252,BCAA,2025-04-07,1,1530
POST_00422,MuscleBlaze_Campaign_Z,INF_0069,USER_010253,Whey Protein,2025-07-19,1,1565
POST_00215,HKVitals_Campaign_Y,INF_0037,USER_010254,Probiotics,2025-06-24,1,1056
POST_00072,HKVitals_Campaign_C,INF_0012,USER_010255,Probiotics,2024-11-17,1,1639
POST_00181,HKVitals_Campaign_A,INF_0031,USER_010256,Vitamin D,2025-05-14,1,1171
POST_00113,HKVitals_Campaign_Y,INF_0020,USER_010257,Probiotics,2025-05-23,1,1241
POST_00188,HKVitals_Campaign_A,INF_0033,USER_010258,Omega-3,2025-02-06,1,1862
POST_00112,HKVitals_Campaign_X,INF_0019,USER_010259,Omega-3,2025-06-19,1,1127
POST_00351,HKVitals_Campaign_C,INF_0060,USER_010260,Multivitamin,2025-06-30,1,1480
POST_00273,HKVitals_Campaign_X,INF_0048,USER_010261,Multivitamin,2025-07-11,1,1760
POST_00535,HKVitals_Campaign_Z,INF_0085,USER_010262,Probiotics,2025-07-19,1,1938
POST_00346,HKVitals_Campaign_Z,INF_0059,USER_010263,Probiotics,2025-05-24,1,1664
POST_00388,HKVitals_Campaign_X,INF_0065,USER_010264,Multivitamin,2025-07-13,2,3672
POST_00412,HKVitals_Campaign_B,INF_0067,USER_010265,Omega-3,2025-06-25,1,1161
POST_00255,MuscleBlaze_Campaign_C,INF_0045,USER_010266,Pre-Workout,2024-11-04,1,1436
POST_00369,HKVitals_Campaign_A,INF_0062,USER_010267,Vitamin D,2025-07-13,1,1260
POST_00628,HKVitals_Campaign_A,INF_0099,USER_010268,Multivitamin,2025-03-31,1,1895
